time,ticker,action,quantity,target_price,executed_price,commission,slippage_cost,total_cost,realized_pnl,cash_balance,holdings_value,portfolio_value,status,notes
2025-01-17,BA,buy,344.0,169.8,169.90188,58.446246720000005,35.046719999998004,58504.69296672,0.0,941495.30703328,58854.96,1000350.26703328,EXECUTED,
2025-01-17,NFLX,buy,26.0,85.98,86.031588,2.2368212880000002,1.341287999999878,2239.058109288,0.0,939256.248923992,61086.02,1000342.2689239921,EXECUTED,
2025-01-17,XOM,buy,528.0,111.03,111.09661799999999,58.659014303999996,35.174303999995345,58717.673318304,0.0,880538.575605688,120390.98,1000929.555605688,EXECUTED,
2025-01-17,XLF,buy,816.0,49.91,49.93994599999999,40.750995935999995,24.435935999996218,40791.746931935995,0.0,839746.828673752,161378.66,1001125.488673752,EXECUTED,
2025-01-17,WMT,buy,548.0,92.07,92.12524199999999,50.484632616,30.272615999995992,50535.11724861599,0.0,789211.7114251361,211761.78,1000973.4914251361,EXECUTED,
2025-01-17,UNH,buy,110.0,505.62,505.923372,55.65157092,33.37091999999643,55707.22249092,0.0,733504.4889342161,267835.38,1001339.8689342161,EXECUTED,
2025-01-17,QQQ,buy,98.0,522.85,523.16371,51.27004358000001,30.74358000000143,51321.313623580005,0.0,682183.175310636,318965.9,1001149.0753106361,EXECUTED,
2025-01-17,PFE,buy,2214.0,26.4,26.415839999999996,58.48466975999999,35.06975999999378,58543.15442975999,0.0,623640.0208808761,377194.10000000003,1000834.1208808762,EXECUTED,
2025-01-17,NVDA,buy,425.0,136.69,136.77201399999998,58.12810594999999,34.85594999999435,58186.23405594999,0.0,565453.7868249262,435720.85000000003,1001174.6368249261,EXECUTED,
2025-01-17,IWM,buy,188.0,226.93,226.97,42.67036,7.519999999998504,42713.03036,0.0,522740.7564649262,478107.33,1000848.0864649261,EXECUTED,(filled at day high $226.97)
2025-01-17,TLT,buy,464.0,87.43,87.48,40.590720000000005,23.19999999999868,40631.31072,0.0,482109.44574492617,518563.49,1000672.9357449261,EXECUTED,(filled at day high $87.48)
2025-01-17,MSFT,buy,111.0,434.09,434.35045399999996,48.212900393999995,28.91039399999795,48261.113294393996,0.0,433848.3324505322,566185.82,1000034.1524505322,EXECUTED,
2025-01-17,LQD,buy,543.0,106.98,107.01,58.10643,16.290000000000617,58164.53643,0.0,375683.7960205322,624167.36,999851.1560205321,EXECUTED,(filled at day high $107.01)
2025-01-17,JPM,buy,222.0,254.14,254.29248399999997,56.452931447999994,33.851447999997106,56509.384379448,0.0,319174.4116410842,681700.88,1000875.2916410842,EXECUTED,
2025-01-17,IVV,buy,96.0,599.76,600.1198559999999,57.611506176,34.546175999992556,57669.117682175995,0.0,261505.29395890818,739325.84,1000831.1339589081,EXECUTED,
2025-01-17,CVX,buy,321.0,159.13,159.22547799999998,51.111378437999996,30.648437999995423,51162.48981643799,0.0,210342.80414247018,791157.71,1001500.5141424702,EXECUTED,
2025-01-17,CSCO,buy,1030.0,60.76,60.79645599999999,62.62034968,37.54967999999387,62682.97002967999,0.0,147659.83411279018,853194.61,1000854.4441127902,EXECUTED,
