time,ticker,action,quantity,price
2025-07-01,AAPL,buy,161.0,206.67
2025-07-01,DIA,buy,75.0,440.19
2025-07-01,IVV,buy,53.0,619.3
2025-07-01,HYG,buy,415.0,80.2
2025-07-01,GOOGL,buy,189.0,175.74
2025-07-01,GOOG,buy,188.0,176.81
2025-07-01,GLD,buy,108.0,308.56
2025-07-01,AMZN,buy,151.0,219.5
2025-07-01,CVX,buy,232.0,143.34
2025-07-01,CSCO,buy,480.0,69.38
2025-07-01,BA,buy,159.0,209.5
2025-07-01,JPM,buy,114.0,290.89
2025-07-01,AMD,buy,240.0,138.77
2025-07-01,IWM,buy,155.0,214.62
2025-07-01,PFE,buy,1372.0,24.28
2025-07-01,BAC,buy,708.0,47.02
2025-07-01,MSFT,buy,67.0,496.47
2025-07-01,XOM,buy,308.0,108.13
2025-07-01,LQD,buy,305.0,109.26
2025-07-01,WMT,buy,341.0,97.6
2025-07-01,V,buy,94.0,353.82
2025-07-01,UNH,buy,106.0,311.97
2025-07-01,TLT,buy,378.0,88.13
2025-07-01,XLF,buy,638.0,52.24
2025-07-01,QQQ,buy,60.0,549.73
2025-07-01,PG,buy,208.0,159.88
2025-07-01,NVDA,buy,213.0,156.29
2025-07-01,NFLX,buy,249.0,133.82
2025-07-01,MU,buy,272.0,122.35
2025-07-01,SPY,buy,54.0,616.36
2025-07-30,BA,sell,10.0,227.84
2025-07-30,BAC,sell,1.0,48.26
2025-07-30,CVX,sell,14.0,156.14
2025-07-30,AMD,sell,46.0,175.61
2025-07-30,GLD,buy,4.0,304.42
2025-07-30,LQD,buy,8.0,109.09
2025-07-30,HYG,buy,9.0,80.45
2025-07-30,GOOG,sell,14.0,196.3
2025-07-30,GOOGL,sell,15.0,195.6
2025-07-30,AMZN,sell,4.0,231.64
2025-07-30,DIA,buy,1.0,446.71
2025-07-30,IWM,sell,3.0,223.66
2025-07-30,CSCO,buy,23.0,67.84
2025-07-30,MSFT,sell,1.0,515.17
2025-07-30,NVDA,sell,20.0,176.51
2025-07-30,PG,buy,9.0,157.0
2025-07-30,SPY,sell,1.0,635.92
2025-07-30,TLT,buy,15.0,86.77
2025-07-30,WMT,buy,5.0,98.61
2025-07-30,NFLX,buy,43.0,116.86
2025-07-30,XLF,buy,9.0,52.78
2025-07-30,V,buy,3.0,351.7
2025-07-30,UNH,buy,23.0,264.8
2025-07-30,PFE,buy,32.0,24.32
2025-07-30,XOM,sell,5.0,112.41
2025-07-30,MU,buy,31.0,112.6
2025-08-27,JPM,buy,2.0,297.25
2025-08-27,HYG,buy,6.0,80.82
2025-08-27,GOOGL,sell,5.0,205.7
2025-08-27,CSCO,buy,6.0,68.32
2025-08-27,GLD,sell,1.0,311.39
2025-08-27,CVX,buy,2.0,157.4
2025-08-27,AMZN,buy,5.0,228.57
2025-08-27,BAC,sell,12.0,50.03
2025-08-27,BA,sell,2.0,235.36
2025-08-27,AMD,buy,15.0,166.04
2025-08-27,AAPL,sell,9.0,228.61
2025-08-27,GOOG,sell,6.0,206.46
2025-08-27,IWM,sell,4.0,233.74
2025-08-27,V,buy,2.0,350.71
2025-08-27,LQD,buy,4.0,109.68
2025-08-27,MSFT,buy,3.0,502.0
2025-08-27,XLF,buy,2.0,53.54
2025-08-27,XOM,buy,9.0,111.42
2025-08-27,UNH,sell,14.0,300.54
2025-08-27,WMT,buy,16.0,95.9
2025-08-27,PG,buy,5.0,156.15
2025-08-27,PFE,sell,14.0,25.01
2025-08-27,NVDA,sell,2.0,181.98
2025-08-27,NFLX,sell,8.0,122.36
2025-08-27,MU,sell,6.0,116.85
2025-08-27,TLT,buy,10.0,86.11
2025-09-25,CVX,buy,6.0,159.44
2025-09-25,AMZN,buy,11.0,220.06
2025-09-25,BA,buy,20.0,214.87
2025-09-25,BAC,buy,5.0,51.48
2025-09-25,CSCO,buy,26.0,67.32
2025-09-25,AAPL,sell,10.0,253.21
2025-09-25,DIA,buy,2.0,459.9
2025-09-25,GOOG,sell,21.0,244.84
2025-09-25,GOOGL,sell,22.0,244.4
2025-09-25,HYG,buy,15.0,81.0
2025-09-25,IVV,buy,1.0,661.14
2025-09-25,AMD,buy,20.0,157.14
2025-09-25,GLD,sell,7.0,344.39
2025-09-25,IWM,buy,2.0,238.98
2025-09-25,JPM,sell,2.0,314.12
2025-09-25,LQD,buy,8.0,111.0
2025-09-25,MU,sell,68.0,157.39
2025-09-25,NFLX,buy,15.0,120.31
2025-09-25,NVDA,buy,15.0,174.48
2025-09-25,PFE,buy,107.0,24.09
2025-09-25,SPY,buy,1.0,657.94
2025-09-25,XOM,buy,2.0,114.64
2025-09-25,PG,buy,13.0,153.23
2025-09-25,V,buy,7.0,338.35
2025-09-25,WMT,sell,13.0,103.22
2025-09-25,XLF,buy,25.0,53.47
2025-09-25,MSFT,buy,1.0,508.3
2025-09-25,TLT,buy,3.0,88.85
2025-09-25,UNH,sell,12.0,348.9
2025-10-23,AMD,sell,67.0,230.16
2025-10-23,AMZN,buy,7.0,219.0
2025-10-23,BA,buy,6.0,216.4
2025-10-23,BAC,buy,27.0,51.48
2025-10-23,CSCO,sell,5.0,70.6
2025-10-23,AAPL,buy,2.0,259.94
2025-10-23,HYG,buy,18.0,80.7
2025-10-23,GLD,sell,6.0,381.46
2025-10-23,IVV,buy,1.0,671.39
2025-10-23,IWM,buy,3.0,244.29
2025-10-23,CVX,buy,10.0,158.2
2025-10-23,JPM,buy,13.0,294.38
2025-10-23,DIA,buy,2.0,465.55
2025-10-23,LQD,buy,7.0,112.52
2025-10-23,MSFT,buy,1.0,522.46
2025-10-23,TLT,buy,2.0,91.61
2025-10-23,NVDA,buy,1.0,180.42
2025-10-23,PFE,buy,15.0,24.76
2025-10-23,PG,buy,10.0,152.35
2025-10-23,QQQ,buy,1.0,604.91
2025-10-23,SPY,buy,2.0,668.12
2025-10-23,NFLX,buy,33.0,112.69
2025-10-23,UNH,buy,2.0,355.58
2025-10-23,WMT,sell,1.0,107.35
2025-10-23,XLF,buy,37.0,52.59
2025-10-23,XOM,buy,6.0,116.63
2025-10-23,MU,sell,39.0,196.7
2025-10-23,V,buy,2.0,346.2
2025-11-20,AMZN,sell,4.0,227.05
2025-11-20,BA,buy,28.0,187.74
2025-11-20,BAC,sell,6.0,52.5
2025-11-20,CSCO,sell,51.0,79.12
2025-11-20,CVX,buy,12.0,152.54
2025-11-20,GOOG,sell,23.0,304.74
2025-11-20,GLD,buy,2.0,375.29
2025-11-20,GOOGL,sell,23.0,304.54
2025-11-20,HYG,buy,8.0,80.41
2025-11-20,IVV,buy,1.0,676.26
2025-11-20,JPM,sell,4.0,306.34
2025-11-20,AAPL,sell,5.0,270.83
2025-11-20,IWM,buy,6.0,237.24
2025-11-20,UNH,buy,16.0,310.81
2025-11-20,LQD,buy,10.0,110.67
2025-11-20,DIA,buy,1.0,466.64
2025-11-20,NFLX,buy,9.0,111.0
2025-11-20,NVDA,sell,14.0,195.95
2025-11-20,PFE,buy,10.0,24.89
2025-11-20,PG,buy,13.0,146.64
2025-11-20,V,buy,8.0,324.12
2025-11-20,MU,sell,26.0,230.24
2025-11-20,WMT,buy,16.0,103.94
2025-11-20,XLF,buy,17.0,52.03
2025-11-20,XOM,buy,1.0,117.98
2025-11-20,MSFT,buy,5.0,492.71
2025-11-20,TLT,buy,17.0,88.99
2025-12-19,GOOGL,buy,2.0,301.73
2025-12-19,GOOG,buy,1.0,303.27
